Initialization Completed, Clock Speed 1
Time, Logical_Clock, Action, queue_length 
16:01:55, 2, recieved message, 2
16:01:56, 4, recieved message, 2
16:01:57, 5, recieved message, 5
16:01:58, 11, recieved message, 6
16:01:59, 12, recieved message, 6
16:02:00, 13, recieved message, 5
16:02:01, 14, recieved message, 6
16:02:02, 16, recieved message, 7
16:02:03, 18, recieved message, 7
16:02:04, 21, recieved message, 10
16:02:05, 26, recieved message, 13
16:02:06, 38, recieved message, 14
16:02:07, 41, recieved message, 14
16:02:08, 42, recieved message, 15
16:02:09, 47, recieved message, 15
16:02:10, 51, recieved message, 17
16:02:11, 55, recieved message, 20
16:02:12, 57, recieved message, 23
16:02:13, 58, recieved message, 24
16:02:14, 59, recieved message, 24
16:02:15, 60, recieved message, 24
16:02:16, 62, recieved message, 23
16:02:17, 63, recieved message, 25
16:02:18, 64, recieved message, 26
16:02:19, 68, recieved message, 25
16:02:20, 70, recieved message, 24
16:02:21, 72, recieved message, 25
16:02:22, 78, recieved message, 26
16:02:23, 83, recieved message, 26
16:02:24, 84, recieved message, 27
16:02:25, 86, recieved message, 28
16:02:26, 88, recieved message, 29
16:02:27, 89, recieved message, 29
16:02:28, 90, recieved message, 30
16:02:29, 99, recieved message, 31
16:02:30, 100, recieved message, 31
16:02:31, 101, recieved message, 31
16:02:32, 104, recieved message, 30
16:02:33, 105, recieved message, 30
16:02:34, 106, recieved message, 31
16:02:35, 107, recieved message, 33
16:02:36, 108, recieved message, 34
16:02:37, 110, recieved message, 35
16:02:38, 117, recieved message, 37
16:02:39, 122, recieved message, 40
16:02:40, 130, recieved message, 40
16:02:41, 132, recieved message, 40
16:02:42, 135, recieved message, 40
16:02:43, 137, recieved message, 40
16:02:44, 141, recieved message, 39
16:02:45, 158, recieved message, 41
16:02:46, 159, recieved message, 42
16:02:47, 163, recieved message, 45
16:02:48, 164, recieved message, 46
16:02:49, 167, recieved message, 50
16:02:50, 178, recieved message, 50
16:02:51, 179, recieved message, 51
16:02:52, 180, recieved message, 51
16:02:53, 185, recieved message, 52
16:02:54, 187, recieved message, 54
16:02:55, 189, recieved message, 55
16:02:56, 195, recieved message, 55
16:02:57, 200, recieved message, 55
16:02:58, 201, recieved message, 54
16:02:59, 206, recieved message, 54
16:03:00, 207, recieved message, 54
16:03:01, 211, recieved message, 56
16:03:02, 220, recieved message, 56
16:03:03, 232, recieved message, 56
16:03:04, 233, recieved message, 58
16:03:05, 239, recieved message, 59
16:03:06, 243, recieved message, 61
16:03:07, 244, recieved message, 63
16:03:08, 245, recieved message, 64
