Initialization Completed, Clock Speed 4
Time, Logical_Clock, Action, queue_length 
16:17:07, 1, sent message to second, 0
16:17:08, 2, sent message to second, 0
16:17:08, 3, sleep, 0
16:17:08, 4, recieved message, 0
16:17:08, 6, recieved message, 0
16:17:09, 7, sleep, 0
16:17:09, 10, recieved message, 0
16:17:09, 11, recieved message, 0
16:17:09, 12, sleep, 0
16:17:10, 13, sleep, 0
16:17:10, 15, recieved message, 0
16:17:10, 16, sleep, 0
16:17:10, 18, recieved message, 0
16:17:11, 19, sent message to second, 0
16:17:11, 20, sent message to second, 0
16:17:11, 21, sleep, 0
16:17:11, 22, recieved message, 1
16:17:12, 24, recieved message, 0
16:17:12, 25, sent message to second, 0
16:17:12, 26, sent message to first, 0
16:17:12, 27, sleep, 0
16:17:13, 28, sleep, 0
16:17:13, 29, sent message to second, 0
16:17:13, 30, sleep, 0
16:17:13, 31, sleep, 0
16:17:14, 37, recieved message, 0
16:17:14, 38, recieved message, 0
16:17:14, 41, recieved message, 0
16:17:14, 42, recieved message, 0
16:17:15, 43, sleep, 0
16:17:15, 44, sleep, 0
16:17:15, 45, sleep, 0
16:17:15, 48, recieved message, 1
16:17:16, 49, recieved message, 1
16:17:16, 50, recieved message, 1
16:17:16, 51, recieved message, 1
16:17:16, 52, recieved message, 1
16:17:17, 55, recieved message, 0
16:17:17, 56, recieved message, 0
16:17:17, 57, sleep, 0
16:17:17, 58, recieved message, 0
16:17:18, 60, recieved message, 0
16:17:18, 61, sleep, 0
16:17:18, 62, sent message to second, 1
16:17:18, 63, recieved message, 0
16:17:19, 64, sleep, 0
16:17:19, 66, recieved message, 0
16:17:19, 71, recieved message, 0
16:17:19, 72, recieved message, 0
16:17:20, 73, recieved message, 0
16:17:20, 74, sleep, 0
16:17:20, 77, recieved message, 0
16:17:20, 78, sleep, 0
16:17:21, 79, sent message to second, 0
16:17:21, 80, sleep, 0
16:17:21, 81, sleep, 0
16:17:21, 85, recieved message, 0
16:17:22, 86, recieved message, 0
16:17:22, 88, recieved message, 0
16:17:22, 89, sent message to first, 0
16:17:22, 90, sleep, 0
16:17:23, 92, recieved message, 1
16:17:23, 93, recieved message, 0
16:17:23, 94, recieved message, 0
16:17:23, 95, recieved message, 0
16:17:24, 96, sleep, 0
16:17:24, 97, sleep, 0
16:17:24, 98, sleep, 0
16:17:24, 102, recieved message, 0
16:17:25, 103, sent message to second, 0
16:17:25, 104, sleep, 0
16:17:25, 106, recieved message, 0
16:17:25, 108, recieved message, 1
16:17:26, 109, recieved message, 0
16:17:26, 110, sleep, 0
16:17:26, 111, sleep, 0
16:17:26, 112, sleep, 0
16:17:27, 113, sleep, 0
16:17:27, 114, sleep, 0
16:17:27, 115, sleep, 0
16:17:27, 116, sleep, 0
16:17:28, 121, recieved message, 0
16:17:28, 122, sleep, 0
16:17:28, 123, sleep, 0
16:17:28, 127, recieved message, 0
16:17:29, 128, sleep, 0
16:17:29, 129, sleep, 0
16:17:29, 130, sent message to both, 0
16:17:29, 131, sleep, 0
16:17:30, 132, sleep, 0
16:17:30, 133, sleep, 0
16:17:30, 137, recieved message, 0
16:17:30, 138, recieved message, 0
16:17:31, 139, sleep, 0
16:17:31, 140, sleep, 0
16:17:31, 141, sleep, 0
16:17:31, 142, sleep, 0
16:17:32, 145, recieved message, 0
16:17:32, 146, sleep, 0
16:17:32, 149, recieved message, 0
16:17:32, 150, recieved message, 0
16:17:33, 152, recieved message, 1
16:17:33, 153, recieved message, 1
16:17:33, 154, recieved message, 0
16:17:33, 156, recieved message, 0
16:17:34, 157, sleep, 0
16:17:34, 158, sent message to first, 0
16:17:34, 161, recieved message, 0
16:17:34, 162, recieved message, 1
16:17:35, 163, recieved message, 1
16:17:35, 164, recieved message, 0
16:17:35, 167, recieved message, 0
16:17:35, 168, sleep, 0
16:17:36, 169, sent message to second, 0
16:17:36, 171, recieved message, 0
16:17:36, 173, recieved message, 0
16:17:36, 174, sent message to first, 0
16:17:37, 175, sent message to first, 0
16:17:37, 177, recieved message, 1
16:17:37, 178, recieved message, 0
16:17:37, 180, recieved message, 0
16:17:38, 182, recieved message, 0
16:17:38, 183, recieved message, 0
16:17:38, 184, sleep, 0
16:17:38, 185, sleep, 0
16:17:39, 186, sleep, 0
16:17:39, 188, recieved message, 0
16:17:39, 189, sleep, 0
16:17:39, 190, recieved message, 1
16:17:40, 192, recieved message, 0
16:17:40, 193, sleep, 0
16:17:40, 197, recieved message, 0
16:17:40, 198, recieved message, 0
16:17:41, 199, sent message to both, 0
16:17:41, 200, sleep, 0
16:17:41, 201, recieved message, 0
16:17:41, 204, recieved message, 0
16:17:42, 205, sent message to both, 0
16:17:42, 206, sleep, 0
16:17:42, 207, recieved message, 0
16:17:42, 208, sleep, 0
16:17:43, 209, sent message to second, 0
16:17:43, 210, sleep, 0
16:17:43, 211, sleep, 0
16:17:43, 217, recieved message, 0
16:17:44, 218, recieved message, 0
16:17:44, 219, recieved message, 0
16:17:44, 221, recieved message, 0
16:17:44, 223, recieved message, 0
16:17:45, 224, sleep, 0
16:17:45, 226, recieved message, 0
16:17:45, 227, sleep, 0
16:17:45, 228, recieved message, 0
16:17:46, 229, sleep, 0
16:17:46, 230, sleep, 0
16:17:46, 231, sleep, 0
16:17:46, 232, sleep, 0
16:17:47, 233, sleep, 0
16:17:47, 234, sleep, 0
16:17:47, 235, sleep, 0
16:17:47, 240, recieved message, 1
16:17:48, 241, recieved message, 0
16:17:48, 242, sleep, 0
16:17:48, 243, recieved message, 0
16:17:48, 247, recieved message, 0
16:17:49, 248, sleep, 0
16:17:49, 249, sleep, 0
16:17:49, 250, recieved message, 0
16:17:49, 252, recieved message, 0
16:17:50, 254, recieved message, 0
16:17:50, 255, sent message to first, 0
16:17:50, 257, recieved message, 0
16:17:50, 258, recieved message, 0
16:17:51, 259, sleep, 0
16:17:51, 260, sleep, 0
16:17:51, 261, recieved message, 0
16:17:51, 265, recieved message, 0
16:17:52, 266, sent message to both, 0
16:17:52, 267, sent message to second, 0
16:17:52, 268, sleep, 0
16:17:52, 269, recieved message, 0
16:17:53, 271, recieved message, 0
16:17:53, 272, sent message to first, 0
16:17:53, 275, recieved message, 0
16:17:53, 276, recieved message, 1
16:17:54, 277, recieved message, 0
16:17:54, 278, sleep, 0
16:17:54, 281, recieved message, 0
16:17:54, 282, sleep, 0
16:17:55, 284, recieved message, 0
16:17:55, 285, recieved message, 0
16:17:55, 286, recieved message, 0
16:17:55, 289, recieved message, 0
16:17:56, 290, recieved message, 0
16:17:56, 292, recieved message, 0
16:17:56, 293, sent message to first, 0
16:17:56, 294, recieved message, 0
16:17:57, 295, sent message to both, 0
16:17:57, 296, sleep, 0
16:17:57, 299, recieved message, 0
16:17:57, 300, recieved message, 2
16:17:58, 301, recieved message, 1
16:17:58, 302, recieved message, 1
16:17:58, 303, recieved message, 0
16:17:58, 305, recieved message, 0
16:17:59, 306, sent message to first, 0
16:17:59, 307, sleep, 0
16:17:59, 308, sent message to both, 0
16:17:59, 309, sent message to second, 0
16:18:00, 310, sleep, 0
16:18:00, 311, sent message to both, 0
16:18:00, 312, sleep, 0
16:18:00, 315, recieved message, 0
16:18:01, 316, sent message to both, 0
16:18:01, 317, sleep, 0
16:18:01, 318, sleep, 0
16:18:01, 319, sleep, 0
16:18:02, 326, recieved message, 0
16:18:02, 327, sleep, 0
16:18:02, 328, sleep, 0
16:18:02, 329, sent message to second, 0
16:18:03, 330, sleep, 0
16:18:03, 331, sleep, 0
16:18:03, 332, sleep, 0
16:18:03, 333, sent message to second, 0
16:18:04, 334, sleep, 0
16:18:04, 335, sleep, 0
16:18:04, 340, recieved message, 0
16:18:04, 342, recieved message, 0
16:18:05, 343, sent message to first, 0
16:18:05, 344, sleep, 0
16:18:05, 345, sleep, 0
16:18:05, 349, recieved message, 0
16:18:06, 350, sleep, 0
16:18:06, 351, sleep, 0
16:18:06, 352, sleep, 0
16:18:06, 353, recieved message, 1
16:18:07, 354, recieved message, 0
16:18:07, 355, sleep, 0
16:18:07, 359, recieved message, 0
16:18:07, 360, recieved message, 0
16:18:08, 361, sleep, 0
16:18:08, 362, sleep, 0
16:18:08, 363, sleep, 0
16:18:08, 365, recieved message, 0
16:18:09, 366, sleep, 0
16:18:09, 367, recieved message, 0
16:18:09, 368, sleep, 0
16:18:09, 369, sleep, 0
16:18:10, 370, sent message to both, 0
16:18:10, 371, sleep, 0
16:18:10, 372, sent message to second, 0
16:18:10, 373, sleep, 0
16:18:11, 374, sleep, 0
16:18:11, 375, sleep, 0
16:18:11, 376, sleep, 0
16:18:11, 385, recieved message, 0
16:18:12, 386, recieved message, 0
16:18:12, 388, recieved message, 0
16:18:12, 389, sleep, 0
16:18:12, 391, recieved message, 0
16:18:13, 392, recieved message, 0
16:18:13, 393, recieved message, 0
16:18:13, 394, recieved message, 0
16:18:13, 395, sent message to first, 0
16:18:14, 396, sent message to both, 0
16:18:14, 397, sent message to first, 0
16:18:14, 401, recieved message, 0
16:18:14, 402, sleep, 0
16:18:15, 403, sleep, 0
16:18:15, 405, recieved message, 0
16:18:15, 407, recieved message, 0
16:18:15, 408, recieved message, 0
16:18:16, 409, sleep, 0
16:18:16, 410, sleep, 0
16:18:16, 411, recieved message, 1
16:18:16, 413, recieved message, 2
16:18:17, 414, recieved message, 1
16:18:17, 415, recieved message, 0
16:18:17, 419, recieved message, 0
16:18:17, 421, recieved message, 0
16:18:18, 422, recieved message, 1
16:18:18, 423, recieved message, 1
16:18:18, 424, recieved message, 1
16:18:18, 425, recieved message, 0
16:18:19, 426, sent message to second, 0
16:18:19, 429, recieved message, 0
16:18:19, 430, recieved message, 1
16:18:19, 431, recieved message, 0
16:18:20, 432, sleep, 0
16:18:20, 433, sleep, 0
16:18:20, 437, recieved message, 0
16:18:20, 439, recieved message, 0
16:18:21, 440, sleep, 0
16:18:21, 441, sent message to second, 0
16:18:21, 442, recieved message, 0
16:18:21, 443, sleep, 0
16:18:22, 444, sent message to both, 0
16:18:22, 445, sleep, 0
16:18:22, 446, sleep, 0
16:18:22, 447, sent message to second, 0
16:18:23, 449, recieved message, 0
