Initialization Completed, Clock Speed 2
Time, Logical_Clock, Action, queue_length 
16:12:44, 1, sleep, 0
16:12:45, 3, recieved message, 0
16:12:45, 4, sleep, 0
16:12:46, 8, recieved message, 0
16:12:46, 9, sleep, 0
16:12:47, 13, recieved message, 0
16:12:47, 16, recieved message, 0
16:12:48, 18, recieved message, 0
16:12:48, 21, recieved message, 0
16:12:49, 22, sleep, 0
16:12:49, 23, sleep, 0
16:12:50, 24, sent message to both, 0
16:12:50, 25, sent message to both, 0
16:12:51, 34, recieved message, 0
16:12:51, 35, sleep, 0
16:12:52, 36, sleep, 0
16:12:52, 37, sleep, 0
16:12:53, 38, sleep, 0
16:12:53, 45, recieved message, 0
16:12:54, 49, recieved message, 0
16:12:54, 50, sent message to first, 0
16:12:55, 54, recieved message, 0
16:12:55, 55, recieved message, 0
16:12:56, 59, recieved message, 0
16:12:56, 60, sent message to second, 0
16:12:57, 64, recieved message, 0
16:12:57, 65, recieved message, 1
16:12:58, 66, recieved message, 0
16:12:58, 67, sleep, 0
16:12:59, 68, sleep, 0
16:12:59, 69, sleep, 0
16:13:00, 70, sleep, 0
16:13:00, 82, recieved message, 0
16:13:01, 83, sleep, 0
16:13:01, 84, sent message to both, 0
16:13:02, 85, sleep, 0
16:13:02, 86, sleep, 0
16:13:03, 87, sleep, 0
16:13:03, 88, sent message to second, 0
16:13:04, 98, recieved message, 0
16:13:04, 99, sleep, 0
16:13:05, 100, sleep, 0
16:13:05, 105, recieved message, 1
16:13:06, 106, recieved message, 0
16:13:06, 107, sleep, 0
16:13:07, 108, sleep, 0
16:13:07, 109, sent message to first, 0
16:13:08, 110, sleep, 0
16:13:08, 120, recieved message, 1
16:13:09, 121, recieved message, 1
16:13:09, 123, recieved message, 0
16:13:10, 124, sleep, 0
16:13:10, 125, sent message to first, 0
16:13:11, 134, recieved message, 0
16:13:11, 135, recieved message, 0
16:13:12, 136, sent message to second, 0
16:13:12, 137, sleep, 0
16:13:13, 143, recieved message, 0
16:13:13, 144, sent message to second, 0
16:13:14, 145, sent message to second, 0
16:13:14, 152, recieved message, 0
16:13:15, 153, sent message to first, 0
16:13:15, 154, sleep, 0
16:13:16, 155, sent message to both, 0
16:13:16, 156, sleep, 0
16:13:17, 157, sleep, 0
16:13:17, 165, recieved message, 0
16:13:18, 169, recieved message, 0
16:13:18, 170, sleep, 0
16:13:19, 174, recieved message, 0
16:13:19, 175, recieved message, 0
16:13:20, 176, sleep, 0
16:13:20, 177, sent message to second, 0
16:13:21, 178, sleep, 0
16:13:21, 186, recieved message, 0
16:13:22, 189, recieved message, 0
16:13:22, 190, recieved message, 0
16:13:23, 191, sent message to both, 0
16:13:23, 192, sent message to second, 0
16:13:24, 198, recieved message, 0
16:13:24, 201, recieved message, 0
16:13:25, 202, sent message to second, 0
16:13:25, 203, sent message to second, 0
16:13:26, 204, sleep, 0
16:13:26, 205, sleep, 0
16:13:27, 206, sleep, 0
16:13:27, 207, sleep, 0
16:13:28, 208, sleep, 0
16:13:28, 209, sent message to first, 0
16:13:29, 210, sleep, 0
16:13:29, 226, recieved message, 0
16:13:30, 227, sleep, 0
16:13:30, 228, sleep, 0
16:13:31, 234, recieved message, 0
16:13:31, 235, sleep, 0
16:13:32, 236, sent message to first, 0
16:13:32, 237, sleep, 0
16:13:33, 243, recieved message, 0
16:13:33, 245, recieved message, 1
16:13:34, 247, recieved message, 0
16:13:34, 251, recieved message, 0
16:13:35, 253, recieved message, 0
16:13:35, 257, recieved message, 0
16:13:36, 258, sent message to second, 1
16:13:36, 260, recieved message, 0
16:13:37, 261, sleep, 0
16:13:37, 262, sleep, 0
16:13:38, 263, sleep, 0
16:13:38, 264, sleep, 0
16:13:39, 265, sleep, 0
16:13:39, 266, sent message to first, 0
16:13:40, 267, sleep, 0
16:13:40, 280, recieved message, 0
16:13:41, 281, sleep, 0
16:13:41, 282, sleep, 0
16:13:42, 283, sleep, 0
16:13:42, 284, sleep, 0
16:13:43, 285, sleep, 0
16:13:43, 297, recieved message, 0
16:13:44, 298, sleep, 0
16:13:44, 299, sent message to second, 0
16:13:45, 300, sleep, 0
16:13:45, 301, sleep, 0
16:13:46, 302, sleep, 0
16:13:46, 303, sleep, 0
16:13:47, 313, recieved message, 1
16:13:47, 314, recieved message, 0
16:13:48, 315, sleep, 0
16:13:48, 322, recieved message, 0
16:13:49, 323, sleep, 0
16:13:49, 325, recieved message, 1
16:13:50, 327, recieved message, 1
16:13:50, 329, recieved message, 0
16:13:51, 334, recieved message, 0
16:13:51, 337, recieved message, 0
16:13:52, 338, sleep, 0
16:13:52, 339, sleep, 0
16:13:53, 340, sent message to first, 0
16:13:53, 341, sleep, 0
16:13:54, 342, sent message to both, 0
16:13:54, 343, sent message to first, 0
16:13:55, 354, recieved message, 0
16:13:55, 355, recieved message, 0
16:13:56, 358, recieved message, 0
16:13:56, 360, recieved message, 1
16:13:57, 361, recieved message, 1
16:13:57, 363, recieved message, 0
16:13:58, 364, sleep, 0
16:13:58, 365, sent message to both, 0
16:13:59, 366, sleep, 0
16:13:59, 367, sleep, 0
16:14:00, 368, sleep, 0
16:14:00, 380, recieved message, 0
16:14:01, 381, sleep, 0
16:14:01, 382, sleep, 0
16:14:02, 389, recieved message, 0
16:14:02, 390, sleep, 0
16:14:03, 394, recieved message, 0
16:14:03, 397, recieved message, 0
16:14:04, 398, sleep, 0
16:14:04, 399, sent message to second, 0
16:14:05, 403, recieved message, 0
16:14:05, 404, sent message to both, 0
16:14:06, 405, sleep, 0
16:14:06, 411, recieved message, 1
16:14:07, 412, recieved message, 0
16:14:07, 413, sleep, 0
16:14:08, 414, sleep, 0
16:14:08, 422, recieved message, 0
16:14:09, 423, sent message to first, 1
16:14:09, 425, recieved message, 1
16:14:10, 427, recieved message, 0
16:14:10, 431, recieved message, 0
