Initialization Completed, Clock Speed 2
Time, Logical_Clock, Action, queue_length 
15:45:30, 2, recieved message, 0
15:45:31, 4, recieved message, 0
15:45:31, 5, recieved message, 0
15:45:32, 6, sleep, 0
15:45:32, 7, recieved message, 0
15:45:33, 8, sleep, 0
15:45:33, 14, recieved message, 1
15:45:34, 15, recieved message, 0
15:45:34, 17, recieved message, 2
15:45:35, 20, recieved message, 2
15:45:35, 22, recieved message, 2
15:45:36, 23, recieved message, 1
15:45:36, 25, recieved message, 1
15:45:37, 32, recieved message, 0
15:45:37, 37, recieved message, 0
15:45:38, 38, sleep, 0
15:45:38, 39, sent message to second, 0
15:45:39, 44, recieved message, 0
15:45:39, 46, recieved message, 0
15:45:40, 47, sleep, 0
15:45:40, 50, recieved message, 1
15:45:41, 52, recieved message, 0
15:45:41, 56, recieved message, 1
15:45:42, 57, recieved message, 1
15:45:42, 59, recieved message, 1
15:45:43, 60, recieved message, 1
15:45:43, 61, recieved message, 1
15:45:44, 62, recieved message, 0
15:45:44, 63, sleep, 0
15:45:45, 64, sent message to second, 0
15:45:45, 77, recieved message, 0
15:45:46, 79, recieved message, 0
15:45:46, 80, sent message to first, 0
15:45:47, 81, sleep, 0
15:45:47, 82, sent message to both, 0
15:45:48, 83, sleep, 0
15:45:48, 84, sleep, 0
15:45:49, 85, sleep, 0
15:45:49, 93, recieved message, 0
15:45:50, 94, sleep, 0
15:45:50, 100, recieved message, 0
15:45:51, 101, sleep, 0
15:45:51, 102, sleep, 0
15:45:52, 108, recieved message, 0
15:45:52, 109, recieved message, 1
15:45:53, 111, recieved message, 0
15:45:53, 116, recieved message, 0
15:45:54, 117, sent message to first, 0
15:45:54, 118, sleep, 0
15:45:55, 119, sleep, 0
15:45:55, 125, recieved message, 0
15:45:56, 126, sleep, 0
15:45:56, 127, sleep, 0
15:45:57, 128, sleep, 0
15:45:57, 137, recieved message, 0
15:45:58, 138, sleep, 0
15:45:58, 139, recieved message, 0
15:45:59, 143, recieved message, 0
15:45:59, 144, sent message to both, 0
15:46:00, 145, sleep, 0
15:46:00, 146, sent message to both, 0
15:46:01, 154, recieved message, 0
15:46:01, 155, sent message to second, 0
15:46:02, 156, sleep, 0
15:46:02, 157, sleep, 0
15:46:03, 163, recieved message, 0
15:46:03, 166, recieved message, 0
15:46:04, 169, recieved message, 0
15:46:04, 170, sleep, 0
15:46:05, 174, recieved message, 0
15:46:05, 175, sleep, 0
15:46:06, 176, sent message to first, 0
15:46:06, 180, recieved message, 0
15:46:07, 183, recieved message, 0
15:46:07, 184, sleep, 0
15:46:08, 188, recieved message, 0
15:46:08, 190, recieved message, 0
15:46:09, 191, sleep, 0
15:46:09, 196, recieved message, 0
15:46:10, 197, sent message to both, 1
15:46:10, 200, recieved message, 0
15:46:11, 201, sleep, 0
15:46:11, 206, recieved message, 1
15:46:12, 207, recieved message, 0
15:46:12, 210, recieved message, 0
15:46:13, 211, sleep, 0
15:46:13, 214, recieved message, 0
15:46:14, 218, recieved message, 0
15:46:14, 219, sleep, 0
15:46:15, 220, sleep, 0
15:46:15, 221, sent message to second, 0
15:46:16, 222, sent message to first, 1
15:46:16, 223, recieved message, 0
15:46:17, 234, recieved message, 0
15:46:17, 235, recieved message, 3
15:46:18, 236, recieved message, 2
15:46:18, 237, recieved message, 2
15:46:19, 238, recieved message, 1
15:46:19, 241, recieved message, 1
15:46:20, 243, recieved message, 0
15:46:20, 252, recieved message, 0
15:46:21, 254, recieved message, 0
15:46:21, 255, recieved message, 2
15:46:22, 256, recieved message, 3
15:46:22, 257, recieved message, 2
15:46:23, 258, recieved message, 2
15:46:23, 259, recieved message, 2
15:46:24, 264, recieved message, 1
15:46:24, 265, recieved message, 2
15:46:25, 267, recieved message, 2
15:46:25, 272, recieved message, 1
15:46:26, 274, recieved message, 2
15:46:26, 278, recieved message, 2
15:46:27, 279, recieved message, 1
15:46:27, 281, recieved message, 2
15:46:28, 285, recieved message, 3
15:46:28, 287, recieved message, 2
15:46:29, 288, recieved message, 1
15:46:29, 289, recieved message, 0
15:46:30, 290, sleep, 0
15:46:30, 291, sent message to both, 0
15:46:31, 292, sleep, 0
15:46:31, 306, recieved message, 0
15:46:32, 308, recieved message, 0
15:46:32, 309, sleep, 0
15:46:33, 313, recieved message, 0
15:46:33, 314, recieved message, 0
15:46:34, 315, sleep, 0
15:46:34, 318, recieved message, 0
15:46:35, 319, sleep, 0
15:46:35, 320, sent message to both, 0
15:46:36, 321, sleep, 0
15:46:36, 330, recieved message, 0
15:46:37, 331, sent message to second, 0
15:46:37, 337, recieved message, 0
15:46:38, 338, sleep, 0
15:46:38, 341, recieved message, 0
15:46:39, 342, sleep, 0
15:46:39, 343, sleep, 0
15:46:40, 344, sleep, 0
15:46:40, 345, sleep, 0
15:46:41, 353, recieved message, 0
15:46:41, 356, recieved message, 1
15:46:42, 357, recieved message, 0
15:46:42, 361, recieved message, 0
15:46:43, 362, sleep, 0
15:46:43, 367, recieved message, 0
15:46:44, 368, sleep, 0
15:46:44, 370, recieved message, 1
15:46:45, 372, recieved message, 0
15:46:45, 373, sleep, 0
15:46:46, 374, sleep, 0
15:46:46, 376, recieved message, 1
15:46:47, 380, recieved message, 1
15:46:47, 383, recieved message, 0
15:46:48, 384, sleep, 0
15:46:48, 392, recieved message, 0
15:46:49, 393, sleep, 0
15:46:49, 394, recieved message, 0
15:46:50, 395, sent message to second, 0
15:46:50, 396, sleep, 0
15:46:51, 403, recieved message, 0
15:46:51, 407, recieved message, 0
15:46:52, 408, recieved message, 0
15:46:52, 409, sleep, 0
15:46:53, 410, sent message to both, 0
15:46:53, 417, recieved message, 0
15:46:54, 418, sent message to both, 0
15:46:54, 419, sleep, 0
15:46:55, 420, sleep, 0
15:46:55, 421, sleep, 0
15:46:56, 422, sleep, 0
15:46:56, 429, recieved message, 1
15:46:57, 432, recieved message, 0
15:46:57, 433, recieved message, 1
15:46:58, 434, recieved message, 0
15:46:58, 435, sleep, 0
15:46:59, 436, sent message to second, 0
15:46:59, 437, sleep, 0
15:47:00, 438, sent message to second, 0
15:47:00, 439, sleep, 0
15:47:01, 440, sleep, 0
15:47:01, 457, recieved message, 0
15:47:02, 458, recieved message, 0
15:47:02, 459, recieved message, 1
15:47:03, 460, recieved message, 1
15:47:03, 461, recieved message, 1
15:47:04, 467, recieved message, 0
15:47:04, 471, recieved message, 0
15:47:05, 474, recieved message, 0
15:47:05, 475, sleep, 0
15:47:06, 476, sleep, 0
15:47:06, 480, recieved message, 0
15:47:07, 481, sleep, 0
15:47:07, 482, sent message to both, 0
15:47:08, 483, sleep, 0
15:47:08, 490, recieved message, 1
15:47:09, 491, recieved message, 1
