Initialization Completed, Clock Speed 1
Time, Logical_Clock, Action, queue_length 
16:12:45, 1, sleep, 0
16:12:46, 8, recieved message, 1
16:12:47, 9, recieved message, 1
16:12:48, 13, recieved message, 1
16:12:49, 16, recieved message, 0
16:12:50, 27, recieved message, 0
16:12:51, 28, recieved message, 1
16:12:52, 29, recieved message, 2
16:12:53, 35, recieved message, 1
16:12:54, 38, recieved message, 3
16:12:55, 45, recieved message, 3
16:12:56, 48, recieved message, 3
16:12:57, 49, recieved message, 4
16:12:58, 54, recieved message, 5
16:12:59, 55, recieved message, 5
16:13:00, 60, recieved message, 6
16:13:01, 64, recieved message, 6
16:13:02, 65, recieved message, 6
16:13:03, 67, recieved message, 5
16:13:04, 74, recieved message, 5
16:13:05, 75, recieved message, 4
16:13:06, 76, recieved message, 6
16:13:07, 82, recieved message, 5
16:13:08, 84, recieved message, 4
16:13:09, 88, recieved message, 5
16:13:10, 106, recieved message, 5
16:13:11, 107, recieved message, 5
16:13:12, 108, recieved message, 4
16:13:13, 121, recieved message, 4
16:13:14, 123, recieved message, 5
16:13:15, 128, recieved message, 6
16:13:16, 131, recieved message, 6
16:13:17, 136, recieved message, 6
16:13:18, 144, recieved message, 7
16:13:19, 148, recieved message, 6
16:13:20, 149, recieved message, 5
16:13:21, 152, recieved message, 5
16:13:22, 155, recieved message, 5
16:13:23, 156, recieved message, 6
16:13:24, 165, recieved message, 8
16:13:25, 169, recieved message, 9
16:13:26, 177, recieved message, 12
16:13:27, 189, recieved message, 11
16:13:28, 190, recieved message, 10
16:13:29, 191, recieved message, 9
16:13:30, 192, recieved message, 8
16:13:31, 193, recieved message, 8
16:13:32, 198, recieved message, 7
16:13:33, 201, recieved message, 6
16:13:34, 202, recieved message, 7
16:13:35, 205, recieved message, 6
16:13:36, 206, recieved message, 6
16:13:37, 207, recieved message, 6
16:13:38, 209, recieved message, 6
16:13:39, 231, recieved message, 5
16:13:40, 245, recieved message, 4
16:13:41, 247, recieved message, 3
16:13:42, 257, recieved message, 2
16:13:43, 258, recieved message, 3
16:13:44, 265, recieved message, 2
16:13:45, 290, recieved message, 3
16:13:46, 294, recieved message, 2
16:13:47, 301, recieved message, 1
16:13:48, 302, recieved message, 1
16:13:49, 319, recieved message, 1
16:13:50, 322, recieved message, 2
16:13:51, 325, recieved message, 4
16:13:52, 329, recieved message, 4
16:13:53, 331, recieved message, 3
16:13:54, 333, recieved message, 2
16:13:55, 334, recieved message, 2
16:13:56, 339, recieved message, 3
16:13:57, 342, recieved message, 6
16:13:58, 358, recieved message, 6
16:13:59, 359, recieved message, 8
16:14:00, 360, recieved message, 8
16:14:01, 361, recieved message, 8
16:14:02, 362, recieved message, 8
16:14:03, 363, recieved message, 7
16:14:04, 369, recieved message, 7
16:14:05, 371, recieved message, 7
16:14:06, 372, recieved message, 7
16:14:07, 373, recieved message, 7
16:14:08, 377, recieved message, 8
16:14:09, 380, recieved message, 7
16:14:10, 389, recieved message, 8
16:14:11, 397, recieved message, 10
16:14:12, 399, recieved message, 12
