Initialization Completed, Clock Speed 5
Time, Logical_Clock, Action, queue_length 
15:45:30, 1, sleep, 0
15:45:30, 2, sent message to both, 0
15:45:31, 3, sleep, 0
15:45:31, 4, sent message to first, 0
15:45:31, 5, sent message to first, 0
15:45:31, 6, sleep, 0
15:45:31, 7, sleep, 0
15:45:32, 8, sleep, 0
15:45:32, 9, recieved message, 0
15:45:32, 10, sleep, 0
15:45:32, 11, sleep, 0
15:45:32, 12, sleep, 0
15:45:33, 13, sent message to second, 0
15:45:33, 14, sleep, 0
15:45:33, 15, sleep, 0
15:45:33, 16, recieved message, 0
15:45:33, 17, recieved message, 0
15:45:34, 18, sleep, 0
15:45:34, 19, sleep, 0
15:45:34, 20, sent message to first, 0
15:45:34, 21, sleep, 0
15:45:34, 22, sent message to first, 0
15:45:35, 23, sleep, 0
15:45:35, 24, recieved message, 0
15:45:35, 25, sent message to both, 0
15:45:35, 26, sleep, 0
15:45:35, 27, sleep, 0
15:45:36, 28, sleep, 0
15:45:36, 29, sleep, 0
15:45:36, 30, sleep, 0
15:45:36, 31, recieved message, 0
15:45:36, 32, sent message to first, 0
15:45:37, 33, sent message to second, 0
15:45:37, 34, sleep, 0
15:45:37, 35, sleep, 0
15:45:37, 36, sleep, 0
15:45:37, 37, sent message to both, 0
15:45:38, 38, sleep, 0
15:45:38, 39, sleep, 0
15:45:38, 40, sleep, 0
15:45:38, 41, sleep, 0
15:45:38, 42, sleep, 0
15:45:39, 43, sleep, 0
15:45:39, 44, sent message to first, 0
15:45:39, 45, sleep, 0
15:45:39, 46, sent message to both, 0
15:45:39, 47, sleep, 0
15:45:40, 48, sleep, 0
15:45:40, 49, recieved message, 0
15:45:40, 50, sent message to both, 0
15:45:40, 51, sleep, 0
15:45:40, 52, sent message to both, 0
15:45:41, 53, sent message to second, 0
15:45:41, 54, sleep, 0
15:45:41, 55, sleep, 0
15:45:41, 56, sent message to first, 0
15:45:41, 57, sleep, 0
15:45:42, 58, sleep, 0
15:45:42, 59, sent message to first, 0
15:45:42, 60, sent message to second, 0
15:45:42, 61, sleep, 0
15:45:42, 62, sleep, 0
15:45:43, 63, sleep, 0
15:45:43, 64, recieved message, 0
15:45:43, 65, sleep, 0
15:45:43, 66, sleep, 0
15:45:43, 67, sent message to second, 0
15:45:44, 68, sent message to second, 0
15:45:44, 69, sleep, 0
15:45:44, 70, sleep, 0
15:45:44, 71, sleep, 0
15:45:44, 72, sleep, 0
15:45:45, 73, sleep, 0
15:45:45, 74, sleep, 0
15:45:45, 75, sleep, 0
15:45:45, 76, recieved message, 0
15:45:45, 77, sent message to both, 0
15:45:46, 78, sleep, 0
15:45:46, 79, sent message to both, 0
15:45:46, 80, sleep, 0
15:45:46, 81, sent message to second, 0
15:45:46, 82, sleep, 0
15:45:47, 83, recieved message, 0
15:45:47, 84, sleep, 0
15:45:47, 85, sent message to second, 0
15:45:47, 86, sleep, 0
15:45:47, 87, sleep, 0
15:45:48, 88, recieved message, 0
15:45:48, 89, sent message to second, 0
15:45:48, 90, sleep, 0
15:45:48, 91, sleep, 0
15:45:48, 92, sleep, 0
15:45:49, 93, sleep, 0
15:45:49, 94, sleep, 0
15:45:49, 95, sleep, 0
15:45:49, 96, sleep, 0
15:45:49, 97, recieved message, 0
15:45:50, 98, sleep, 0
15:45:50, 99, sleep, 0
15:45:50, 100, sent message to both, 0
15:45:50, 101, sent message to second, 0
15:45:50, 102, sleep, 0
15:45:51, 103, sleep, 0
15:45:51, 104, sleep, 0
15:45:51, 105, sent message to second, 0
15:45:51, 106, sleep, 0
15:45:51, 107, sleep, 0
15:45:52, 108, sent message to both, 0
15:45:52, 109, sleep, 0
15:45:52, 110, sleep, 0
15:45:52, 111, sent message to first, 0
15:45:52, 112, sleep, 0
15:45:53, 113, sleep, 0
15:45:53, 114, sleep, 0
15:45:53, 115, sent message to second, 0
15:45:53, 116, sent message to first, 0
15:45:53, 117, sleep, 0
15:45:54, 118, sleep, 0
15:45:54, 119, sleep, 0
15:45:54, 120, sleep, 0
15:45:54, 121, recieved message, 0
15:45:54, 122, sleep, 0
15:45:55, 123, sleep, 0
15:45:55, 124, sleep, 0
15:45:55, 125, sent message to first, 0
15:45:55, 126, sleep, 0
15:45:55, 127, sleep, 0
15:45:56, 128, sleep, 0
15:45:56, 129, sleep, 0
15:45:56, 130, sleep, 0
15:45:56, 131, sleep, 0
15:45:56, 132, sleep, 0
15:45:57, 133, sleep, 0
15:45:57, 134, recieved message, 0
15:45:57, 135, sleep, 0
15:45:57, 136, sleep, 0
15:45:57, 137, sent message to both, 0
15:45:58, 138, sent message to second, 0
15:45:58, 139, sleep, 0
15:45:58, 140, sleep, 0
15:45:58, 141, sleep, 0
15:45:58, 142, sleep, 0
15:45:59, 143, sent message to both, 0
15:45:59, 144, sleep, 0
15:45:59, 145, sent message to second, 0
15:45:59, 146, sleep, 0
15:45:59, 147, sent message to second, 0
15:46:00, 148, recieved message, 0
15:46:00, 149, sleep, 0
15:46:00, 150, sleep, 0
15:46:00, 151, sleep, 0
15:46:00, 152, sent message to second, 0
15:46:01, 153, recieved message, 0
15:46:01, 154, sent message to both, 0
15:46:01, 155, sleep, 0
15:46:01, 156, sent message to second, 0
15:46:01, 157, sent message to second, 0
15:46:02, 158, sleep, 0
15:46:02, 159, sleep, 0
15:46:02, 160, sleep, 0
15:46:02, 161, sent message to second, 0
15:46:02, 162, sleep, 0
15:46:03, 163, sent message to both, 0
15:46:03, 164, sent message to second, 0
15:46:03, 165, sleep, 0
15:46:03, 166, sent message to first, 0
15:46:03, 167, sleep, 0
15:46:04, 168, sleep, 0
15:46:04, 169, sent message to first, 0
15:46:04, 170, sleep, 0
15:46:04, 171, sleep, 0
15:46:04, 172, sent message to second, 0
15:46:05, 173, sleep, 0
15:46:05, 174, sent message to first, 0
15:46:05, 175, sleep, 0
15:46:05, 176, sleep, 0
15:46:05, 177, sleep, 0
15:46:06, 178, sleep, 0
15:46:06, 179, sent message to second, 0
15:46:06, 180, sleep, 0
15:46:06, 181, recieved message, 0
15:46:06, 182, recieved message, 0
15:46:07, 183, sent message to first, 0
15:46:07, 184, sleep, 0
15:46:07, 185, sleep, 0
15:46:07, 186, recieved message, 0
15:46:07, 187, sent message to second, 0
15:46:08, 188, sent message to both, 0
15:46:08, 189, sleep, 0
15:46:08, 190, sent message to both, 0
15:46:08, 191, sleep, 0
15:46:08, 192, sleep, 0
15:46:09, 193, sleep, 0
15:46:09, 194, sleep, 0
15:46:09, 195, sleep, 0
15:46:09, 196, sent message to both, 0
15:46:09, 197, sleep, 0
15:46:10, 198, sent message to second, 0
15:46:10, 199, sent message to second, 0
15:46:10, 200, sent message to both, 0
15:46:10, 201, recieved message, 0
15:46:10, 202, sleep, 0
15:46:11, 203, sleep, 0
15:46:11, 204, sleep, 0
15:46:11, 205, sleep, 0
15:46:11, 206, sent message to both, 0
15:46:11, 207, sent message to both, 0
15:46:12, 208, sleep, 0
15:46:12, 209, sleep, 0
15:46:12, 210, sent message to first, 0
15:46:12, 211, recieved message, 0
15:46:12, 212, sent message to second, 0
15:46:13, 213, sent message to second, 0
15:46:13, 214, sleep, 0
15:46:13, 215, sleep, 0
15:46:13, 216, sleep, 0
15:46:13, 217, sleep, 0
15:46:14, 218, sent message to first, 0
