Initialization Completed, Clock Speed 1
Time, Logical_Clock, Action, queue_length 
15:34:43, 1, recieved message, 1
15:34:44, 2, recieved message, 4
15:34:45, 6, recieved message, 3
15:34:46, 8, recieved message, 4
15:34:47, 9, recieved message, 6
15:34:48, 10, recieved message, 8
15:34:49, 18, recieved message, 8
15:34:50, 19, recieved message, 10
15:34:51, 22, recieved message, 10
15:34:52, 24, recieved message, 9
15:34:53, 25, recieved message, 9
15:34:54, 27, recieved message, 8
15:34:55, 28, recieved message, 8
15:34:56, 29, recieved message, 9
15:34:57, 30, recieved message, 8
15:34:58, 35, recieved message, 10
15:34:59, 36, recieved message, 9
15:35:00, 38, recieved message, 10
15:35:01, 40, recieved message, 12
15:35:02, 53, recieved message, 11
15:35:03, 63, recieved message, 11
15:35:04, 65, recieved message, 11
15:35:05, 69, recieved message, 13
15:35:06, 75, recieved message, 13
15:35:07, 76, recieved message, 12
15:35:08, 77, recieved message, 12
15:35:09, 86, recieved message, 13
15:35:10, 87, recieved message, 14
15:35:11, 90, recieved message, 13
15:35:12, 91, recieved message, 14
15:35:13, 92, recieved message, 13
15:35:14, 100, recieved message, 13
15:35:15, 105, recieved message, 16
15:35:16, 111, recieved message, 18
15:35:17, 113, recieved message, 19
15:35:18, 114, recieved message, 18
15:35:19, 116, recieved message, 19
15:35:20, 126, recieved message, 22
15:35:21, 131, recieved message, 23
15:35:22, 134, recieved message, 22
15:35:23, 135, recieved message, 21
15:35:24, 138, recieved message, 24
15:35:25, 146, recieved message, 25
15:35:26, 149, recieved message, 25
15:35:27, 157, recieved message, 26
15:35:28, 160, recieved message, 26
15:35:29, 161, recieved message, 27
15:35:30, 162, recieved message, 26
15:35:31, 164, recieved message, 26
15:35:32, 166, recieved message, 26
15:35:33, 168, recieved message, 26
15:35:34, 169, recieved message, 29
15:35:35, 172, recieved message, 30
15:35:36, 173, recieved message, 30
15:35:37, 180, recieved message, 30
15:35:38, 182, recieved message, 31
15:35:39, 185, recieved message, 33
15:35:40, 186, recieved message, 34
15:35:41, 189, recieved message, 35
15:35:42, 190, recieved message, 35
15:35:43, 191, recieved message, 36
15:35:44, 192, recieved message, 38
15:35:45, 206, recieved message, 40
15:35:46, 207, recieved message, 40
15:35:47, 208, recieved message, 42
15:35:48, 209, recieved message, 41
15:35:49, 211, recieved message, 41
15:35:50, 213, recieved message, 44
15:35:51, 217, recieved message, 44
15:35:52, 220, recieved message, 44
15:35:53, 222, recieved message, 44
15:35:54, 228, recieved message, 47
15:35:55, 230, recieved message, 47
15:35:56, 232, recieved message, 48
15:35:57, 240, recieved message, 49
15:35:58, 248, recieved message, 48
15:35:59, 253, recieved message, 48
15:36:00, 255, recieved message, 50
15:36:01, 256, recieved message, 50
15:36:02, 257, recieved message, 49
15:36:03, 258, recieved message, 49
15:36:04, 260, recieved message, 48
